prov_rank,kabupaten,kecamatan,mean_lsi,median_lsi,std_lsi,iqr_lsi,pct_critical_area,pct_severe_area,n_pixels_1km2,intra_kab_rank,kab_total_kec,kab_mean_lsi,intra_kab_delta,intra_kab_zscore,risk_category
125,Banyuwangi,Banyuwangi,0.6821228265762329,0.6359081864356995,0.13355539739131927,0.21777242422103882,33.33333333333333,22.22222222222222,9,1,19,0.48182513682465805,0.20029768975157486,1.5626616676835086,High Priority (Tier 2)
126,Tulungagung,Kauman,0.6816297173500061,0.7354108095169067,0.19272135198116302,0.2065468430519104,37.03703703703704,14.814814814814813,27,1,19,0.5478861473108593,0.13374357003914683,1.583076737252137,High Priority (Tier 2)
127,Pamekasan,Pademawu,0.6806589365005493,0.6888452768325806,0.09829418361186981,0.1591816544532776,28.333333333333332,0.0,60,6,13,0.6722519260186416,0.008407010481907728,0.13992007080245425,High Priority (Tier 2)
128,Tuban,Widang,0.6800549030303955,0.6651689410209656,0.14137305319309235,0.16384422779083252,29.059829059829063,12.82051282051282,117,7,19,0.6537798674483049,0.026275035582090656,0.33880266542141774,High Priority (Tier 2)
129,Nganjuk,Ngluyu,0.6799761652946472,0.6780240535736084,0.06674893945455551,0.0967225432395935,16.3265306122449,0.0,98,10,20,0.6635750740766525,0.016401091217994712,0.20402047644551555,High Priority (Tier 2)
130,Nganjuk,Lengkong,0.6797938346862793,0.6810948252677917,0.0757569894194603,0.08568483591079712,14.814814814814813,2.4691358024691357,81,11,20,0.6635750740766525,0.016218760609626792,0.20175238482311117,High Priority (Tier 2)
131,Sampang,Camplong,0.6795786023139954,0.6656820178031921,0.06836128979921341,0.07060974836349487,18.30985915492958,1.4084507042253522,71,3,12,0.6185134251912435,0.061065177122751835,1.1343625767473746,High Priority (Tier 2)
132,Jombang,Plandaan,0.6794381141662598,0.6820423007011414,0.10210420191287994,0.1306965947151184,23.577235772357724,5.691056910569105,123,10,20,0.6710116803646088,0.008426433801650979,0.07866121413468605,High Priority (Tier 2)
133,Jember,Sukowono,0.6788840889930725,0.6669406294822693,0.10562538355588913,0.1769641637802124,27.86885245901639,4.918032786885246,61,3,28,0.5093095212110451,0.1695745677820274,1.2826080319037514,High Priority (Tier 2)
134,Magetan,Parang,0.6779829859733582,0.6783835291862488,0.07679376006126404,0.08241236209869385,18.055555555555554,2.7777777777777777,72,2,13,0.603030264377594,0.07495272159576416,1.651983038931896,High Priority (Tier 2)
135,Gresik,Kedamean,0.6779022812843323,0.6781536936759949,0.0603213794529438,0.08316445350646973,14.925373134328357,0.0,67,3,18,0.6209769807755947,0.056925300508737564,1.0173921879897971,High Priority (Tier 2)
136,Nganjuk,Tanjunganom,0.6776639223098755,0.6652822494506836,0.10070624202489853,0.148565411567688,23.52941176470588,5.88235294117647,68,12,20,0.6635750740766525,0.014088848233222984,0.17525745640369375,High Priority (Tier 2)
137,Pamekasan,Pasean,0.6774070858955383,0.6622838973999023,0.1269865781068802,0.18498003482818604,27.380952380952383,10.714285714285714,84,7,13,0.6722519260186416,0.005155159876896742,0.08579867201612945,High Priority (Tier 2)
138,Tuban,Kerek,0.6772956848144531,0.6704270839691162,0.06750921159982681,0.09870463609695435,16.379310344827587,0.8620689655172413,116,8,19,0.6537798674483049,0.023515817366148273,0.30322400813968226,High Priority (Tier 2)
139,Nganjuk,Wilangan,0.676605224609375,0.6792850494384766,0.07143116742372513,0.06912529468536377,14.000000000000002,0.0,50,13,20,0.6635750740766525,0.013030150532722495,0.16208784430917056,High Priority (Tier 2)
140,Lamongan,Lamongan,0.676429687688748,0.676429687688748,,,0.0,,0,12,25,0.6764296876887481,-1.1102230246251565e-16,-8.883616580150408e-16,High Priority (Tier 2)
141,Madiun,Mejayan,0.6751431822776794,0.6646221280097961,0.0662703663110733,0.0778965950012207,10.44776119402985,2.9850746268656714,67,5,15,0.6499545017878214,0.025188680489858006,0.33632002337024575,High Priority (Tier 2)
142,Lamongan,Sukodadi,0.6751188635826111,0.6698787808418274,0.09351266175508499,0.10975426435470581,21.428571428571427,4.761904761904762,42,13,25,0.6764296876887481,-0.0013108241061370318,-0.010488756317111523,High Priority (Tier 2)
143,Bangkalan,Tanahmerah,0.6750106811523438,0.67193603515625,0.06622688472270966,0.07531630992889404,12.121212121212121,1.5151515151515151,66,5,18,0.6350120902061462,0.03999859094619751,0.5672636168984777,High Priority (Tier 2)
144,Ponorogo,Jetis,0.6747025847434998,0.6300443410873413,0.1217895969748497,0.145801842212677,14.285714285714285,11.428571428571429,35,1,19,0.5377402384030191,0.13696234634048066,1.6989630530603552,High Priority (Tier 2)
145,Gresik,Benjeng,0.6736468076705933,0.6816434264183044,0.07445892691612244,0.11003422737121582,13.20754716981132,0.0,53,4,18,0.6209769807755947,0.05266982689499855,0.9413366279466798,High Priority (Tier 2)
146,Malang,Junrejo,0.6715854406356812,0.695277988910675,0.12590497732162476,0.14992845058441162,24.0,8.0,25,3,35,0.5215494292122977,0.1500360114233834,1.5841041685287314,High Priority (Tier 2)
147,Lamongan,Pucuk,0.6715792417526245,0.6680933833122253,0.08652546256780624,0.11350136995315552,15.909090909090908,2.272727272727273,44,14,25,0.6764296876887481,-0.004850445936123604,-0.03881157297545606,High Priority (Tier 2)
148,Madiun,Jiwan,0.67043137550354,0.6853811740875244,0.13915878534317017,0.16857552528381348,26.82926829268293,4.878048780487805,41,6,15,0.6499545017878214,0.020476873715718602,0.27340783688105263,High Priority (Tier 2)
149,Gresik,Wringinanom,0.6695058941841125,0.6464336514472961,0.0906592532992363,0.09231317043304443,16.94915254237288,3.389830508474576,59,5,18,0.6209769807755947,0.04852891340851784,0.8673285332219024,High Priority (Tier 2)
150,Madiun,Geger,0.6690335869789124,0.6897029876708984,0.12316153943538666,0.18148648738861084,27.027027027027028,2.7027027027027026,37,7,15,0.6499545017878214,0.019079085191090916,0.2547445222441971,High Priority (Tier 2)
151,Pasuruan,Kejayang,0.667353093624115,0.6608268022537231,0.11348234117031097,0.14807474613189697,21.428571428571427,5.714285714285714,70,3,24,0.5713256684442362,0.09602742517987883,1.1278329973904555,High Priority (Tier 2)
