id_kec,kabupaten,kecamatan,mean_lsi,crop_fraction,crop_density_pct,mean_asi,zone,zone_name,prov_rank
3529160.0,Sumenep,Batuputih,0.645,0.0762,7.62,0.0507,2,Zone 2: Hydrologic Conveyance,427
3505160.0,Blitar,Nglegok,0.4773,0.0899,8.99,0.0484,4,Zone 4: Ecological Catchment,428
3507260.0,Malang,Karangploso,0.5781,0.08,8.0,0.0477,4,Zone 4: Ecological Catchment,429
3520070.0,Magetan,Plaosan,0.5355,0.0649,6.49,0.0475,4,Zone 4: Ecological Catchment,430
3507230.0,Malang,Jabung,0.3735,0.0972,9.72,0.0474,4,Zone 4: Ecological Catchment,431
3578000.0,Kota Surabaya,Kodya Surabaya,0.5135,0.097,9.7,0.0472,4,Zone 4: Ecological Catchment,432
3502020.0,Ponorogo,Slahung,0.4755,0.0784,7.84,0.0466,4,Zone 4: Ecological Catchment,433
3510090.0,Banyuwangi,Kalibaru,0.4089,0.0826,8.26,0.0462,4,Zone 4: Ecological Catchment,434
3515120.0,Sidoarjo,Buduran,0.3336,0.1111,11.11,0.0462,4,Zone 4: Ecological Catchment,435
3526070.0,Bangkalan,Galis,0.7298,0.0609,6.09,0.0459,2,Zone 2: Hydrologic Conveyance,436
3512050.0,Situbondo,Mlandingan,0.6123,0.1552,15.52,0.0457,2,Zone 2: Hydrologic Conveyance,437
3509240.0,Jember,Sumber Jambe,0.4846,0.0574,5.74,0.045,4,Zone 4: Ecological Catchment,438
3527110.0,Sampang,Ketapang,0.5908,0.0732,7.32,0.0441,4,Zone 4: Ecological Catchment,439
3529190.0,Sumenep,Dungkek,0.6981,0.0526,5.26,0.0437,2,Zone 2: Hydrologic Conveyance,440
3507290.0,Malang,Pujon,0.5248,0.0593,5.93,0.0429,4,Zone 4: Ecological Catchment,441
3505020.0,Blitar,Sutojayan,0.4685,0.163,16.3,0.0427,4,Zone 4: Ecological Catchment,442
3502050.0,Ponorogo,Sawoo,0.5579,0.07,7.0,0.0419,4,Zone 4: Ecological Catchment,443
3519070.0,Madiun,Gemarang,0.6103,0.0615,6.15,0.0417,2,Zone 2: Hydrologic Conveyance,444
3513100.0,Probolinggo,Gading,0.3982,0.0909,9.09,0.0407,4,Zone 4: Ecological Catchment,445
3526040.0,Bangkalan,Modung,0.6568,0.3034,30.34,0.0403,1,Zone 1: Critical Emergency,446
